Processing [./tmp/generate_bs64.sqlite] with [/usr/local/cuda-12.1/nsight-systems-2023.1.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)                        Name                      
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  -----------  ------------------------------------------------
     52.4       2916371606      55967      52108.8       6730.0       4570  2276217638    9626606.5  cudaLaunchKernel                                
     39.3       2186130751       1000    2186130.8      10330.0       4440   156262581    8740525.3  cudaMemcpyAsync                                 
      2.6        145855485          1  145855485.0  145855485.0  145855485   145855485          0.0  cudaMemGetInfo                                  
      2.2        123395933      17057       7234.3       8371.0       3641       62321       2671.4  cudaLaunchKernelExC_v11060                      
      1.7         96179744        556     172985.2       8755.5       5840     1342427     383266.2  cudaStreamSynchronize                           
      0.6         35577105         59     603001.8     190363.0       3610    11804695    1630557.9  cudaMalloc                                      
      0.5         29764888       5100       5836.3       5560.0       4890       21801        837.7  cudaMemsetAsync                                 
      0.2         13022863       1681       7747.1       7771.0       6540       23701       1031.5  cuLaunchKernel                                  
      0.2         11366875          4    2841718.8    3382582.0     510990     4090721    1589870.3  cuLibraryLoadData                               
      0.0          2396678          2    1198339.0    1198339.0      14350     2382328    1674413.3  cudaHostAlloc                                   
      0.0          2155785       1681       1282.4        840.0        710      586162      14375.3  cuKernelGetFunction                             
      0.0          1864000       1768       1054.3        960.0        430        6780        278.8  cudaStreamIsCapturing_v10000                    
      0.0          1448629          1    1448629.0    1448629.0    1448629     1448629          0.0  cudaFree                                        
      0.0           261515          1     261515.0     261515.0     261515      261515          0.0  cudaGetDeviceProperties_v2_v12000               
      0.0           215672        810        266.3        230.0        110       12720        454.6  cuGetProcAddress_v2                             
      0.0           168593          1     168593.0     168593.0     168593      168593          0.0  cudaStreamCreate                                
      0.0            27971         20       1398.6        540.0        360        8850       2035.0  cudaEventCreateWithFlags                        
      0.0            20212         35        577.5        480.0        400        2309        410.4  cudaOccupancyMaxActiveClusters_v11070           
      0.0            11500          1      11500.0      11500.0      11500       11500          0.0  cudaDeviceSynchronize                           
      0.0            10840          2       5420.0       5420.0       4780        6060        905.1  cudaEventRecord                                 
      0.0             5300          1       5300.0       5300.0       5300        5300          0.0  cudaStreamDestroy                               
      0.0             4840          2       2420.0       2420.0       2150        2690        381.8  cudaOccupancyAvailableDynamicSMemPerBlock_v10200
      0.0             4759          6        793.2        609.5        510        1340        357.5  cuLibraryGetKernel                              
      0.0             4140          3       1380.0       1080.0        700        2360        869.7  cuInit                                          
      0.0             2230          2       1115.0       1115.0        690        1540        601.0  cudaEventDestroy                                
      0.0             1490          3        496.7        280.0        150        1060        492.2  cuModuleGetLoadingMode                          
      0.0              929          2        464.5        464.5        340         589        176.1  cudaGetDriverEntryPoint_v11030                  

Processing [./tmp/generate_bs64.sqlite] with [/usr/local/cuda-12.1/nsight-systems-2023.1.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ----------  ----------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     38.0       1643338835        169   9723898.4   4126858.0    587325  174781087   15683659.9  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_e…
     19.2        828965132       3420    242387.5    214143.0    211423    1841911     211812.2  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x256x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_ex…
